url;date;type d'url;type d'acteur(s);thème dans la controverse;position vis-à-vis du thème;poids dans la controverse;lu en détail ?
https://loitravail.lol/;11/05/2017;pétition en ligne;association;réforme du code du travail;contre la réforme prévue par Emmanuel Macron;moyen;oui
https://www.alfresco.com/fr/actualites/communiques-de-presse/lavenir-du-travail-le-role-fondamental-de-la-technologie;?;site web d'entreprise;entreprise de services informatiques (Alfresco);rôle du numérique dans le travail;très enthousiaste quant à l'utilisation croissante de l'informatique;?;oui
https://notrelienquotidien.com/2017/03/31/si-les-robots-font-exister-le-marche-du-milieu-de-funnel-lia-ne-remplacera-pas-mais-creera-du-job/;31/03/2017;blog;particulier, publicitaire;rôle du numérique dans le travail publicitaire;confiant dans le fait que les robots vont supprimer peu d'emplois;?;oui
https://www.monster.fr/conseil-carriere/article/sondage-automatisation-travail;16/02/2017;site web d'entreprise;entreprise d'intérim;rôle du numérique dans le travail;confiant dans le fait que les robots vont supprimer peu d'emplois;?;oui
http://humainenracine.fr/travail/;?;blog;particulier, soi-disant philosophe;rôle du numérique dans le travail;en faveur d'une suppression de l'emploi par l'automatisation;?;oui
